origin,name,cylinders,model_year,mpg,displacement,horsepower,weight,acceleration
usa,chevrolet chevelle malibu,8,70,18.0,307.0,130.0,3504,12.0
usa,buick skylark 320,8,70,15.0,350.0,165.0,3693,11.5
usa,plymouth satellite,8,70,18.0,318.0,150.0,3436,11.0
usa,amc rebel sst,8,70,16.0,304.0,150.0,3433,12.0
usa,ford torino,8,70,17.0,302.0,140.0,3449,10.5
usa,ford galaxie 500,8,70,15.0,429.0,198.0,4341,10.0
usa,chevrolet impala,8,70,14.0,454.0,220.0,4354,9.0
usa,plymouth fury iii,8,70,14.0,440.0,215.0,4312,8.5
usa,pontiac catalina,8,70,14.0,455.0,225.0,4425,10.0
usa,amc ambassador dpl,8,70,15.0,390.0,190.0,3850,8.5
usa,dodge challenger se,8,70,15.0,383.0,170.0,3563,10.0
usa,plymouth 'cuda 340,8,70,14.0,340.0,160.0,3609,8.0
usa,chevrolet monte carlo,8,70,15.0,400.0,150.0,3761,9.5
usa,buick estate wagon (sw),8,70,14.0,455.0,225.0,3086,10.0
japan,toyota corona mark ii,4,70,24.0,113.0,95.0,2372,15.0
usa,plymouth duster,6,70,22.0,198.0,95.0,2833,15.5
usa,amc hornet,6,70,18.0,199.0,97.0,2774,15.5
usa,ford maverick,6,70,21.0,200.0,85.0,2587,16.0
japan,datsun pl510,4,70,27.0,97.0,88.0,2130,14.5
europe,volkswagen 1131 deluxe sedan,4,70,26.0,97.0,46.0,1835,20.5
europe,peugeot 504,4,70,25.0,110.0,87.0,2672,17.5
europe,audi 100 ls,4,70,24.0,107.0,90.0,2430,14.5
europe,saab 99e,4,70,25.0,104.0,95.0,2375,17.5
europe,bmw 2002,4,70,26.0,121.0,113.0,2234,12.5
usa,amc gremlin,6,70,21.0,199.0,90.0,2648,15.0
usa,ford f250,8,70,10.0,360.0,215.0,4615,14.0
usa,chevy c20,8,70,10.0,307.0,200.0,4376,15.0
usa,dodge d200,8,70,11.0,318.0,210.0,4382,13.5
usa,hi 1200d,8,70,9.0,304.0,193.0,4732,18.5
japan,datsun pl510,4,71,27.0,97.0,88.0,2130,14.5
usa,chevrolet vega 2300,4,71,28.0,140.0,90.0,2264,15.5
japan,toyota corona,4,71,25.0,113.0,95.0,2228,14.0
usa,amc gremlin,6,71,19.0,232.0,100.0,2634,13.0
usa,plymouth satellite custom,6,71,16.0,225.0,105.0,3439,15.5
usa,chevrolet chevelle malibu,6,71,17.0,250.0,100.0,3329,15.5
usa,ford torino 500,6,71,19.0,250.0,88.0,3302,15.5
usa,amc matador,6,71,18.0,232.0,100.0,3288,15.5
usa,chevrolet impala,8,71,14.0,350.0,165.0,4209,12.0
usa,pontiac catalina brougham,8,71,14.0,400.0,175.0,4464,11.5
usa,ford galaxie 500,8,71,14.0,351.0,153.0,4154,13.5
usa,plymouth fury iii,8,71,14.0,318.0,150.0,4096,13.0
usa,dodge monaco (sw),8,71,12.0,383.0,180.0,4955,11.5
usa,ford country squire (sw),8,71,13.0,400.0,170.0,4746,12.0
usa,pontiac safari (sw),8,71,13.0,400.0,175.0,5140,12.0
usa,amc hornet sportabout (sw),6,71,18.0,258.0,110.0,2962,13.5
usa,chevrolet vega (sw),4,71,22.0,140.0,72.0,2408,19.0
usa,pontiac firebird,6,71,19.0,250.0,100.0,3282,15.0
usa,ford mustang,6,71,18.0,250.0,88.0,3139,14.5
usa,mercury capri 2000,4,71,23.0,122.0,86.0,2220,14.0
europe,opel 1900,4,71,28.0,116.0,90.0,2123,14.0
europe,peugeot 304,4,71,30.0,79.0,70.0,2074,19.5
europe,fiat 124b,4,71,30.0,88.0,76.0,2065,14.5
japan,toyota corolla 1200,4,71,31.0,71.0,65.0,1773,19.0
japan,datsun 1200,4,71,35.0,72.0,69.0,1613,18.0
europe,volkswagen model 111,4,71,27.0,97.0,60.0,1834,19.0
usa,plymouth cricket,4,71,26.0,91.0,70.0,1955,20.5
japan,toyota corona hardtop,4,72,24.0,113.0,95.0,2278,15.5
usa,dodge colt hardtop,4,72,25.0,97.5,80.0,2126,17.0
europe,volkswagen type 3,4,72,23.0,97.0,54.0,2254,23.5
usa,chevrolet vega,4,72,20.0,140.0,90.0,2408,19.5
usa,ford pinto runabout,4,72,21.0,122.0,86.0,2226,16.5
usa,chevrolet impala,8,72,13.0,350.0,165.0,4274,12.0
usa,pontiac catalina,8,72,14.0,400.0,175.0,4385,12.0
usa,plymouth fury iii,8,72,15.0,318.0,150.0,4135,13.5
usa,ford galaxie 500,8,72,14.0,351.0,153.0,4129,13.0
usa,amc ambassador sst,8,72,17.0,304.0,150.0,3672,11.5
usa,mercury marquis,8,72,11.0,429.0,208.0,4633,11.0
usa,buick lesabre custom,8,72,13.0,350.0,155.0,4502,13.5
usa,oldsmobile delta 88 royale,8,72,12.0,350.0,160.0,4456,13.5
usa,chrysler newport royal,8,72,13.0,400.0,190.0,4422,12.5
japan,mazda rx2 coupe,3,72,19.0,70.0,97.0,2330,13.5
usa,amc matador (sw),8,72,15.0,304.0,150.0,3892,12.5
usa,chevrolet chevelle concours (sw),8,72,13.0,307.0,130.0,4098,14.0
usa,ford gran torino (sw),8,72,13.0,302.0,140.0,4294,16.0
usa,plymouth satellite custom (sw),8,72,14.0,318.0,150.0,4077,14.0
europe,volvo 145e (sw),4,72,18.0,121.0,112.0,2933,14.5
europe,volkswagen 411 (sw),4,72,22.0,121.0,76.0,2511,18.0
europe,peugeot 504 (sw),4,72,21.0,120.0,87.0,2979,19.5
europe,renault 12 (sw),4,72,26.0,96.0,69.0,2189,18.0
usa,ford pinto (sw),4,72,22.0,122.0,86.0,2395,16.0
japan,datsun 510 (sw),4,72,28.0,97.0,92.0,2288,17.0
japan,toyouta corona mark ii (sw),4,72,23.0,120.0,97.0,2506,14.5
usa,dodge colt (sw),4,72,28.0,98.0,80.0,2164,15.0
japan,toyota corolla 1600 (sw),4,72,27.0,97.0,88.0,2100,16.5
usa,buick century 350,8,73,13.0,350.0,175.0,4100,13.0
usa,amc matador,8,73,14.0,304.0,150.0,3672,11.5
usa,chevrolet malibu,8,73,13.0,350.0,145.0,3988,13.0
usa,ford gran torino,8,73,14.0,302.0,137.0,4042,14.5
usa,dodge coronet custom,8,73,15.0,318.0,150.0,3777,12.5
usa,mercury marquis brougham,8,73,12.0,429.0,198.0,4952,11.5
usa,chevrolet caprice classic,8,73,13.0,400.0,150.0,4464,12.0
usa,ford ltd,8,73,13.0,351.0,158.0,4363,13.0
usa,plymouth fury gran sedan,8,73,14.0,318.0,150.0,4237,14.5
usa,chrysler new yorker brougham,8,73,13.0,440.0,215.0,4735,11.0
usa,buick electra 225 custom,8,73,12.0,455.0,225.0,4951,11.0
usa,amc ambassador brougham,8,73,13.0,360.0,175.0,3821,11.0
usa,plymouth valiant,6,73,18.0,225.0,105.0,3121,16.5
usa,chevrolet nova custom,6,73,16.0,250.0,100.0,3278,18.0
usa,amc hornet,6,73,18.0,232.0,100.0,2945,16.0
usa,ford maverick,6,73,18.0,250.0,88.0,3021,16.5
usa,plymouth duster,6,73,23.0,198.0,95.0,2904,16.0
europe,volkswagen super beetle,4,73,26.0,97.0,46.0,1950,21.0
usa,chevrolet impala,8,73,11.0,400.0,150.0,4997,14.0
usa,ford country,8,73,12.0,400.0,167.0,4906,12.5
usa,plymouth custom suburb,8,73,13.0,360.0,170.0,4654,13.0
usa,oldsmobile vista cruiser,8,73,12.0,350.0,180.0,4499,12.5
usa,amc gremlin,6,73,18.0,232.0,100.0,2789,15.0
japan,toyota carina,4,73,20.0,97.0,88.0,2279,19.0
usa,chevrolet vega,4,73,21.0,140.0,72.0,2401,19.5
japan,datsun 610,4,73,22.0,108.0,94.0,2379,16.5
japan,maxda rx3,3,73,18.0,70.0,90.0,2124,13.5
usa,ford pinto,4,73,19.0,122.0,85.0,2310,18.5
usa,mercury capri v6,6,73,21.0,155.0,107.0,2472,14.0
europe,fiat 124 sport coupe,4,73,26.0,98.0,90.0,2265,15.5
usa,chevrolet monte carlo s,8,73,15.0,350.0,145.0,4082,13.0
usa,pontiac grand prix,8,73,16.0,400.0,230.0,4278,9.5
europe,fiat 128,4,73,29.0,68.0,49.0,1867,19.5
europe,opel manta,4,73,24.0,116.0,75.0,2158,15.5
europe,audi 100ls,4,73,20.0,114.0,91.0,2582,14.0
europe,volvo 144ea,4,73,19.0,121.0,112.0,2868,15.5
usa,dodge dart custom,8,73,15.0,318.0,150.0,3399,11.0
europe,saab 99le,4,73,24.0,121.0,110.0,2660,14.0
japan,toyota mark ii,6,73,20.0,156.0,122.0,2807,13.5
usa,oldsmobile omega,8,73,11.0,350.0,180.0,3664,11.0
usa,plymouth duster,6,74,20.0,198.0,95.0,3102,16.5
usa,amc hornet,6,74,19.0,232.0,100.0,2901,16.0
usa,chevrolet nova,6,74,15.0,250.0,100.0,3336,17.0
japan,datsun b210,4,74,31.0,79.0,67.0,1950,19.0
usa,ford pinto,4,74,26.0,122.0,80.0,2451,16.5
japan,toyota corolla 1200,4,74,32.0,71.0,65.0,1836,21.0
usa,chevrolet vega,4,74,25.0,140.0,75.0,2542,17.0
usa,chevrolet chevelle malibu classic,6,74,16.0,250.0,100.0,3781,17.0
usa,amc matador,6,74,16.0,258.0,110.0,3632,18.0
usa,plymouth satellite sebring,6,74,18.0,225.0,105.0,3613,16.5
usa,ford gran torino,8,74,16.0,302.0,140.0,4141,14.0
usa,buick century luxus (sw),8,74,13.0,350.0,150.0,4699,14.5
usa,dodge coronet custom (sw),8,74,14.0,318.0,150.0,4457,13.5
usa,ford gran torino (sw),8,74,14.0,302.0,140.0,4638,16.0
usa,amc matador (sw),8,74,14.0,304.0,150.0,4257,15.5
europe,audi fox,4,74,29.0,98.0,83.0,2219,16.5
europe,volkswagen dasher,4,74,26.0,79.0,67.0,1963,15.5
europe,opel manta,4,74,26.0,97.0,78.0,2300,14.5
japan,toyota corona,4,74,31.0,76.0,52.0,1649,16.5
japan,datsun 710,4,74,32.0,83.0,61.0,2003,19.0
usa,dodge colt,4,74,28.0,90.0,75.0,2125,14.5
europe,fiat 128,4,74,24.0,90.0,75.0,2108,15.5
europe,fiat 124 tc,4,74,26.0,116.0,75.0,2246,14.0
japan,honda civic,4,74,24.0,120.0,97.0,2489,15.0
japan,subaru,4,74,26.0,108.0,93.0,2391,15.5
europe,fiat x1.9,4,74,31.0,79.0,67.0,2000,16.0
usa,plymouth valiant custom,6,75,19.0,225.0,95.0,3264,16.0
usa,chevrolet nova,6,75,18.0,250.0,105.0,3459,16.0
usa,mercury monarch,6,75,15.0,250.0,72.0,3432,21.0
usa,ford maverick,6,75,15.0,250.0,72.0,3158,19.5
usa,pontiac catalina,8,75,16.0,400.0,170.0,4668,11.5
usa,chevrolet bel air,8,75,15.0,350.0,145.0,4440,14.0
usa,plymouth grand fury,8,75,16.0,318.0,150.0,4498,14.5
usa,ford ltd,8,75,14.0,351.0,148.0,4657,13.5
usa,buick century,6,75,17.0,231.0,110.0,3907,21.0
usa,chevroelt chevelle malibu,6,75,16.0,250.0,105.0,3897,18.5
usa,amc matador,6,75,15.0,258.0,110.0,3730,19.0
usa,plymouth fury,6,75,18.0,225.0,95.0,3785,19.0
usa,buick skyhawk,6,75,21.0,231.0,110.0,3039,15.0
usa,chevrolet monza 2+2,8,75,20.0,262.0,110.0,3221,13.5
usa,ford mustang ii,8,75,13.0,302.0,129.0,3169,12.0
japan,toyota corolla,4,75,29.0,97.0,75.0,2171,16.0
usa,ford pinto,4,75,23.0,140.0,83.0,2639,17.0
usa,amc gremlin,6,75,20.0,232.0,100.0,2914,16.0
usa,pontiac astro,4,75,23.0,140.0,78.0,2592,18.5
japan,toyota corona,4,75,24.0,134.0,96.0,2702,13.5
europe,volkswagen dasher,4,75,25.0,90.0,71.0,2223,16.5
japan,datsun 710,4,75,24.0,119.0,97.0,2545,17.0
usa,ford pinto,6,75,18.0,171.0,97.0,2984,14.5
europe,volkswagen rabbit,4,75,29.0,90.0,70.0,1937,14.0
usa,amc pacer,6,75,19.0,232.0,90.0,3211,17.0
europe,audi 100ls,4,75,23.0,115.0,95.0,2694,15.0
europe,peugeot 504,4,75,23.0,120.0,88.0,2957,17.0
europe,volvo 244dl,4,75,22.0,121.0,98.0,2945,14.5
europe,saab 99le,4,75,25.0,121.0,115.0,2671,13.5
japan,honda civic cvcc,4,75,33.0,91.0,53.0,1795,17.5
europe,fiat 131,4,76,28.0,107.0,86.0,2464,15.5
europe,opel 1900,4,76,25.0,116.0,81.0,2220,16.9
usa,capri ii,4,76,25.0,140.0,92.0,2572,14.9
usa,dodge colt,4,76,26.0,98.0,79.0,2255,17.7
europe,renault 12tl,4,76,27.0,101.0,83.0,2202,15.3
usa,chevrolet chevelle malibu classic,8,76,17.5,305.0,140.0,4215,13.0
usa,dodge coronet brougham,8,76,16.0,318.0,150.0,4190,13.0
usa,amc matador,8,76,15.5,304.0,120.0,3962,13.9
usa,ford gran torino,8,76,14.5,351.0,152.0,4215,12.8
usa,plymouth valiant,6,76,22.0,225.0,100.0,3233,15.4
usa,chevrolet nova,6,76,22.0,250.0,105.0,3353,14.5
usa,ford maverick,6,76,24.0,200.0,81.0,3012,17.6
usa,amc hornet,6,76,22.5,232.0,90.0,3085,17.6
usa,chevrolet chevette,4,76,29.0,85.0,52.0,2035,22.2
usa,chevrolet woody,4,76,24.5,98.0,60.0,2164,22.1
europe,vw rabbit,4,76,29.0,90.0,70.0,1937,14.2
japan,honda civic,4,76,33.0,91.0,53.0,1795,17.4
usa,dodge aspen se,6,76,20.0,225.0,100.0,3651,17.7
usa,ford granada ghia,6,76,18.0,250.0,78.0,3574,21.0
usa,pontiac ventura sj,6,76,18.5,250.0,110.0,3645,16.2
usa,amc pacer d/l,6,76,17.5,258.0,95.0,3193,17.8
europe,volkswagen rabbit,4,76,29.5,97.0,71.0,1825,12.2
japan,datsun b-210,4,76,32.0,85.0,70.0,1990,17.0
japan,toyota corolla,4,76,28.0,97.0,75.0,2155,16.4
usa,ford pinto,4,76,26.5,140.0,72.0,2565,13.6
europe,volvo 245,4,76,20.0,130.0,102.0,3150,15.7
usa,plymouth volare premier v8,8,76,13.0,318.0,150.0,3940,13.2
europe,peugeot 504,4,76,19.0,120.0,88.0,3270,21.9
japan,toyota mark ii,6,76,19.0,156.0,108.0,2930,15.5
europe,mercedes-benz 280s,6,76,16.5,168.0,120.0,3820,16.7
usa,cadillac seville,8,76,16.5,350.0,180.0,4380,12.1
usa,chevy c10,8,76,13.0,350.0,145.0,4055,12.0
usa,ford f108,8,76,13.0,302.0,130.0,3870,15.0
usa,dodge d100,8,76,13.0,318.0,150.0,3755,14.0
japan,honda accord cvcc,4,77,31.5,98.0,68.0,2045,18.5
usa,buick opel isuzu deluxe,4,77,30.0,111.0,80.0,2155,14.8
europe,renault 5 gtl,4,77,36.0,79.0,58.0,1825,18.6
usa,plymouth arrow gs,4,77,25.5,122.0,96.0,2300,15.5
japan,datsun f-10 hatchback,4,77,33.5,85.0,70.0,1945,16.8
usa,chevrolet caprice classic,8,77,17.5,305.0,145.0,3880,12.5
usa,oldsmobile cutlass supreme,8,77,17.0,260.0,110.0,4060,19.0
usa,dodge monaco brougham,8,77,15.5,318.0,145.0,4140,13.7
usa,mercury cougar brougham,8,77,15.0,302.0,130.0,4295,14.9
usa,chevrolet concours,6,77,17.5,250.0,110.0,3520,16.4
usa,buick skylark,6,77,20.5,231.0,105.0,3425,16.9
usa,plymouth volare custom,6,77,19.0,225.0,100.0,3630,17.7
usa,ford granada,6,77,18.5,250.0,98.0,3525,19.0
usa,pontiac grand prix lj,8,77,16.0,400.0,180.0,4220,11.1
usa,chevrolet monte carlo landau,8,77,15.5,350.0,170.0,4165,11.4
usa,chrysler cordoba,8,77,15.5,400.0,190.0,4325,12.2
usa,ford thunderbird,8,77,16.0,351.0,149.0,4335,14.5
europe,volkswagen rabbit custom,4,77,29.0,97.0,78.0,1940,14.5
usa,pontiac sunbird coupe,4,77,24.5,151.0,88.0,2740,16.0
japan,toyota corolla liftback,4,77,26.0,97.0,75.0,2265,18.2
usa,ford mustang ii 2+2,4,77,25.5,140.0,89.0,2755,15.8
usa,chevrolet chevette,4,77,30.5,98.0,63.0,2051,17.0
usa,dodge colt m/m,4,77,33.5,98.0,83.0,2075,15.9
japan,subaru dl,4,77,30.0,97.0,67.0,1985,16.4
europe,volkswagen dasher,4,77,30.5,97.0,78.0,2190,14.1
japan,datsun 810,6,77,22.0,146.0,97.0,2815,14.5
europe,bmw 320i,4,77,21.5,121.0,110.0,2600,12.8
japan,mazda rx-4,3,77,21.5,80.0,110.0,2720,13.5
europe,volkswagen rabbit custom diesel,4,78,43.1,90.0,48.0,1985,21.5
usa,ford fiesta,4,78,36.1,98.0,66.0,1800,14.4
japan,mazda glc deluxe,4,78,32.8,78.0,52.0,1985,19.4
japan,datsun b210 gx,4,78,39.4,85.0,70.0,2070,18.6
japan,honda civic cvcc,4,78,36.1,91.0,60.0,1800,16.4
usa,oldsmobile cutlass salon brougham,8,78,19.9,260.0,110.0,3365,15.5
usa,dodge diplomat,8,78,19.4,318.0,140.0,3735,13.2
usa,mercury monarch ghia,8,78,20.2,302.0,139.0,3570,12.8
usa,pontiac phoenix lj,6,78,19.2,231.0,105.0,3535,19.2
usa,chevrolet malibu,6,78,20.5,200.0,95.0,3155,18.2
usa,ford fairmont (auto),6,78,20.2,200.0,85.0,2965,15.8
usa,ford fairmont (man),4,78,25.1,140.0,88.0,2720,15.4
usa,plymouth volare,6,78,20.5,225.0,100.0,3430,17.2
usa,amc concord,6,78,19.4,232.0,90.0,3210,17.2
usa,buick century special,6,78,20.6,231.0,105.0,3380,15.8
usa,mercury zephyr,6,78,20.8,200.0,85.0,3070,16.7
usa,dodge aspen,6,78,18.6,225.0,110.0,3620,18.7
usa,amc concord d/l,6,78,18.1,258.0,120.0,3410,15.1
usa,chevrolet monte carlo landau,8,78,19.2,305.0,145.0,3425,13.2
usa,buick regal sport coupe (turbo),6,78,17.7,231.0,165.0,3445,13.4
usa,ford futura,8,78,18.1,302.0,139.0,3205,11.2
usa,dodge magnum xe,8,78,17.5,318.0,140.0,4080,13.7
usa,chevrolet chevette,4,78,30.0,98.0,68.0,2155,16.5
japan,toyota corona,4,78,27.5,134.0,95.0,2560,14.2
japan,datsun 510,4,78,27.2,119.0,97.0,2300,14.7
usa,dodge omni,4,78,30.9,105.0,75.0,2230,14.5
japan,toyota celica gt liftback,4,78,21.1,134.0,95.0,2515,14.8
usa,plymouth sapporo,4,78,23.2,156.0,105.0,2745,16.7
usa,oldsmobile starfire sx,4,78,23.8,151.0,85.0,2855,17.6
japan,datsun 200-sx,4,78,23.9,119.0,97.0,2405,14.9
europe,audi 5000,5,78,20.3,131.0,103.0,2830,15.9
europe,volvo 264gl,6,78,17.0,163.0,125.0,3140,13.6
europe,saab 99gle,4,78,21.6,121.0,115.0,2795,15.7
europe,peugeot 604sl,6,78,16.2,163.0,133.0,3410,15.8
europe,volkswagen scirocco,4,78,31.5,89.0,71.0,1990,14.9
japan,honda accord lx,4,78,29.5,98.0,68.0,2135,16.6
usa,pontiac lemans v6,6,79,21.5,231.0,115.0,3245,15.4
usa,mercury zephyr 6,6,79,19.8,200.0,85.0,2990,18.2
usa,ford fairmont 4,4,79,22.3,140.0,88.0,2890,17.3
usa,amc concord dl 6,6,79,20.2,232.0,90.0,3265,18.2
usa,dodge aspen 6,6,79,20.6,225.0,110.0,3360,16.6
usa,chevrolet caprice classic,8,79,17.0,305.0,130.0,3840,15.4
usa,ford ltd landau,8,79,17.6,302.0,129.0,3725,13.4
usa,mercury grand marquis,8,79,16.5,351.0,138.0,3955,13.2
usa,dodge st. regis,8,79,18.2,318.0,135.0,3830,15.2
usa,buick estate wagon (sw),8,79,16.9,350.0,155.0,4360,14.9
usa,ford country squire (sw),8,79,15.5,351.0,142.0,4054,14.3
usa,chevrolet malibu classic (sw),8,79,19.2,267.0,125.0,3605,15.0
usa,chrysler lebaron town @ country (sw),8,79,18.5,360.0,150.0,3940,13.0
europe,vw rabbit custom,4,79,31.9,89.0,71.0,1925,14.0
japan,maxda glc deluxe,4,79,34.1,86.0,65.0,1975,15.2
usa,dodge colt hatchback custom,4,79,35.7,98.0,80.0,1915,14.4
usa,amc spirit dl,4,79,27.4,121.0,80.0,2670,15.0
europe,mercedes benz 300d,5,79,25.4,183.0,77.0,3530,20.1
usa,cadillac eldorado,8,79,23.0,350.0,125.0,3900,17.4
europe,peugeot 504,4,79,27.2,141.0,71.0,3190,24.8
usa,oldsmobile cutlass salon brougham,8,79,23.9,260.0,90.0,3420,22.2
usa,plymouth horizon,4,79,34.2,105.0,70.0,2200,13.2
usa,plymouth horizon tc3,4,79,34.5,105.0,70.0,2150,14.9
japan,datsun 210,4,79,31.8,85.0,65.0,2020,19.2
europe,fiat strada custom,4,79,37.3,91.0,69.0,2130,14.7
usa,buick skylark limited,4,79,28.4,151.0,90.0,2670,16.0
usa,chevrolet citation,6,79,28.8,173.0,115.0,2595,11.3
usa,oldsmobile omega brougham,6,79,26.8,173.0,115.0,2700,12.9
usa,pontiac phoenix,4,79,33.5,151.0,90.0,2556,13.2
europe,vw rabbit,4,80,41.5,98.0,76.0,2144,14.7
japan,toyota corolla tercel,4,80,38.1,89.0,60.0,1968,18.8
usa,chevrolet chevette,4,80,32.1,98.0,70.0,2120,15.5
japan,datsun 310,4,80,37.2,86.0,65.0,2019,16.4
usa,chevrolet citation,4,80,28.0,151.0,90.0,2678,16.5
usa,ford fairmont,4,80,26.4,140.0,88.0,2870,18.1
usa,amc concord,4,80,24.3,151.0,90.0,3003,20.1
usa,dodge aspen,6,80,19.1,225.0,90.0,3381,18.7
europe,audi 4000,4,80,34.3,97.0,78.0,2188,15.8
japan,toyota corona liftback,4,80,29.8,134.0,90.0,2711,15.5
japan,mazda 626,4,80,31.3,120.0,75.0,2542,17.5
japan,datsun 510 hatchback,4,80,37.0,119.0,92.0,2434,15.0
japan,toyota corolla,4,80,32.2,108.0,75.0,2265,15.2
japan,mazda glc,4,80,46.6,86.0,65.0,2110,17.9
usa,dodge colt,4,80,27.9,156.0,105.0,2800,14.4
japan,datsun 210,4,80,40.8,85.0,65.0,2110,19.2
europe,vw rabbit c (diesel),4,80,44.3,90.0,48.0,2085,21.7
europe,vw dasher (diesel),4,80,43.4,90.0,48.0,2335,23.7
europe,audi 5000s (diesel),5,80,36.4,121.0,67.0,2950,19.9
europe,mercedes-benz 240d,4,80,30.0,146.0,67.0,3250,21.8
japan,honda civic 1500 gl,4,80,44.6,91.0,67.0,1850,13.8
japan,subaru dl,4,80,33.8,97.0,67.0,2145,18.0
europe,vokswagen rabbit,4,80,29.8,89.0,62.0,1845,15.3
japan,datsun 280-zx,6,80,32.7,168.0,132.0,2910,11.4
japan,mazda rx-7 gs,3,80,23.7,70.0,100.0,2420,12.5
europe,triumph tr7 coupe,4,80,35.0,122.0,88.0,2500,15.1
japan,honda accord,4,80,32.4,107.0,72.0,2290,17.0
usa,plymouth reliant,4,81,27.2,135.0,84.0,2490,15.7
usa,buick skylark,4,81,26.6,151.0,84.0,2635,16.4
usa,dodge aries wagon (sw),4,81,25.8,156.0,92.0,2620,14.4
usa,chevrolet citation,6,81,23.5,173.0,110.0,2725,12.6
usa,plymouth reliant,4,81,30.0,135.0,84.0,2385,12.9
japan,toyota starlet,4,81,39.1,79.0,58.0,1755,16.9
usa,plymouth champ,4,81,39.0,86.0,64.0,1875,16.4
japan,honda civic 1300,4,81,35.1,81.0,60.0,1760,16.1
japan,subaru,4,81,32.3,97.0,67.0,2065,17.8
japan,datsun 210 mpg,4,81,37.0,85.0,65.0,1975,19.4
japan,toyota tercel,4,81,37.7,89.0,62.0,2050,17.3
japan,mazda glc 4,4,81,34.1,91.0,68.0,1985,16.0
usa,plymouth horizon 4,4,81,34.7,105.0,63.0,2215,14.9
usa,ford escort 4w,4,81,34.4,98.0,65.0,2045,16.2
usa,ford escort 2h,4,81,29.9,98.0,65.0,2380,20.7
europe,volkswagen jetta,4,81,33.0,105.0,74.0,2190,14.2
japan,honda prelude,4,81,33.7,107.0,75.0,2210,14.4
japan,toyota corolla,4,81,32.4,108.0,75.0,2350,16.8
japan,datsun 200sx,4,81,32.9,119.0,100.0,2615,14.8
japan,mazda 626,4,81,31.6,120.0,74.0,2635,18.3
europe,peugeot 505s turbo diesel,4,81,28.1,141.0,80.0,3230,20.4
europe,volvo diesel,6,81,30.7,145.0,76.0,3160,19.6
japan,toyota cressida,6,81,25.4,168.0,116.0,2900,12.6
japan,datsun 810 maxima,6,81,24.2,146.0,120.0,2930,13.8
usa,buick century,6,81,22.4,231.0,110.0,3415,15.8
usa,oldsmobile cutlass ls,8,81,26.6,350.0,105.0,3725,19.0
usa,ford granada gl,6,81,20.2,200.0,88.0,3060,17.1
usa,chrysler lebaron salon,6,81,17.6,225.0,85.0,3465,16.6
usa,chevrolet cavalier,4,82,28.0,112.0,88.0,2605,19.6
usa,chevrolet cavalier wagon,4,82,27.0,112.0,88.0,2640,18.6
usa,chevrolet cavalier 2-door,4,82,34.0,112.0,88.0,2395,18.0
usa,pontiac j2000 se hatchback,4,82,31.0,112.0,85.0,2575,16.2
usa,dodge aries se,4,82,29.0,135.0,84.0,2525,16.0
usa,pontiac phoenix,4,82,27.0,151.0,90.0,2735,18.0
usa,ford fairmont futura,4,82,24.0,140.0,92.0,2865,16.4
europe,volkswagen rabbit l,4,82,36.0,105.0,74.0,1980,15.3
japan,mazda glc custom l,4,82,37.0,91.0,68.0,2025,18.2
japan,mazda glc custom,4,82,31.0,91.0,68.0,1970,17.6
usa,plymouth horizon miser,4,82,38.0,105.0,63.0,2125,14.7
usa,mercury lynx l,4,82,36.0,98.0,70.0,2125,17.3
japan,nissan stanza xe,4,82,36.0,120.0,88.0,2160,14.5
japan,honda accord,4,82,36.0,107.0,75.0,2205,14.5
japan,toyota corolla,4,82,34.0,108.0,70.0,2245,16.9
japan,honda civic,4,82,38.0,91.0,67.0,1965,15.0
japan,honda civic (auto),4,82,32.0,91.0,67.0,1965,15.7
japan,datsun 310 gx,4,82,38.0,91.0,67.0,1995,16.2
usa,buick century limited,6,82,25.0,181.0,110.0,2945,16.4
usa,oldsmobile cutlass ciera (diesel),6,82,38.0,262.0,85.0,3015,17.0
usa,chrysler lebaron medallion,4,82,26.0,156.0,92.0,2585,14.5
usa,ford granada l,6,82,22.0,232.0,112.0,2835,14.7
japan,toyota celica gt,4,82,32.0,144.0,96.0,2665,13.9
usa,dodge charger 2.2,4,82,36.0,135.0,84.0,2370,13.0
usa,chevrolet camaro,4,82,27.0,151.0,90.0,2950,17.3
usa,ford mustang gl,4,82,27.0,140.0,86.0,2790,15.6
europe,vw pickup,4,82,44.0,97.0,52.0,2130,24.6
usa,dodge rampage,4,82,32.0,135.0,84.0,2295,11.6
usa,ford ranger,4,82,28.0,120.0,79.0,2625,18.6
usa,chevy s-10,4,82,31.0,119.0,82.0,2720,19.4
